word,meaning,pos,language_id,meaning_langauge_id,dictionary_id,created_at,updated_at
A bullock work unit ,"ಒಂದು ಎತ್ತಿನ ಕಾರ್ಯಘಟಕ, ಒಂದು ಎತ್ತು ೮ ಗಂಟೆಯಲ್ಲಿ ಮಾಡುವ ಸರಾಸರಿ ಕೆಲಸ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
A-horizon ,"ಎ-ಮಣ್ಣು ಪದರ, ಮೇಲ್ಪದರದ ಸಾವಯವ ಭರಿತ ಮಣ್ಣುವಲಯ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
A-horizon ,ಎ-ವಲಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
A-line ,ಎ-ಸಾಲು ತಳಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
A-trials ,ಕಿರುತಾಕುಗಳಲ್ಲಿ ನಡೆಸಲಾದ ಎ-ಪರೀಕ್ಷಾ ಪ್ರಯೋಗಗಳು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abalone ,ಮುತ್ತಿನ ಚಿಪ್ಪು ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abatement ,"ಕಡಮೆಯಾಗುವಿಕೆ, ಉಡುಗುವಿಕೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abattoir ,ಕಸಾಯಿಖಾನೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abaxial ,ಅಕ್ಷದೂರ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
ABC soil ,ಎಬಿಸಿ-ಸ್ತರದ ಮಣ್ಣು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abdomen  ,"ಹೊಟ್ಟೆ, ಉದರ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abdominal capacity  ,ಹೊಟ್ಟೆಯ ಸಾಮರ್ಥ್ಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abdominal filament ,ಹೊಟ್ಟೆಯ ತಂತು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abdominal palpation  ,ಉದರದ ಹೊರ ಪರೀಕ್ಷೆ. ಹೊಟ್ಟೆಯ ಸ್ಪರ್ಶ ಪರೀಕ್ಷೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abdominal palpitation ,ಉದರದ ಕಂಪನ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abduce ,"ಬದಿಸರಿಸು, ದೂರ ಸರಿಸು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abducent nerve ,"ಅಪವರ್ತನಿ ನರ, ಬದಿಸರಿಕ ನರ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abduction ,"ದೂರಸರಿಕೆ, ಅಪಸರಣ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abductor ,ಅಪಹಾರಕ ಸ್ನಾಯು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Aberrant ,"ಅಪಸರಿತ, ದಾರಿತಪ್ಪುವ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Aberration ,"ವಿಪಥನ, ಅಪಸರಣ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
"Abiogenesis, Abiogeny ",ನಿರ್ಜೀವ ವಸ್ತುವಿನಿಂದ ಜೀವಜನನ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abiotic ,ಅಜೈವಿಕ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abiotic environment ,ಅಜೈವಿಕ ಪರಿಸರ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abiotic factor ,ಅಜೈವಿಕಾಂಶ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Ablactate ,ತಾಯಿಹಾಲು ಬಿಡಿಸುವುದು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Ablactation ,ತಾಯಿ ಹಾಲು ಕೊಡುವುದನ್ನು ನಿಲ್ಲಿಸುವಿಕೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Ablation ,"ಕಿತ್ತೆಗೆತ, ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abmominal viscera ,ಉದರಾಂಗ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abnormal ,"ಅಸ್ವಾಭಾವಿಕ, ಅಸಹಜ, ಅಸಾಮಾನ್ಯ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abnormal forest ,ಅಸ್ವಾಭಾವಿಕ ಕಾಡು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abnormal milk ,"ಅಸಹಜ/ವೈಪರೀತ್ಯದ ಹಾಲು, ಕೆಟ್ಟ ಹಾಲು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abnormal profile ,ಅಸ್ವಾಭಾವಿಕ ಪಾರ್ಶ್ವದೃಶ್ಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abnormality ,"ಅಸಹಜತೆ, ಅಸ್ವಾಭಾವಿಕತೆ, ಊನತೆ,",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abnoxious smell ,"ದುರ್ನಾತ, ಕೆಟ್ಟ ವಾಸನೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abode ,"ನೆಲೆ, ವಾಸಸ್ಥಳ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abomasum ,"ನಿಜೊಡಲು, ಮೆಲುಕು ಪ್ರಾಣಿಗಳ ನೈಜಜಠರ, ನಾಲ್ಕನೆಯ ಜಠರ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Aboriginal ,"ಆದಿವಾಸಿ, ಮೂಲವಾಸಿ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abort ,"ಗರ್ಭಪಾತವಾಗಿ, ಗರ್ಭಸ್ರಾವವಾಗು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Aborted cow ,ಕಂದುಹಾಕಿದ/ಗರ್ಭಪಾತವಾದ ಹಸು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Aborted organ ,ವೃದ್ಧಿರೋಧಿತ ಅಂಗ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abortion ,"ಮೈಯಿಳಿತ, ಗರ್ಭಪಾತ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abortive ,"ಅಪೂರ್ಣ ಬೆಳವಣಿಗೆಯ, ಗೊಡ್ಡಾದ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Above ground reservoir ,ನೆಲಮಟ್ಟದ ಮೇಲಿನ ಜಲಾಶಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abrade ,ಉಜ್ಜಿಹಾಕು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abrading tool ,ಘರ್ಷಕ ಸಲಕರಣೆ/ಉಪಕರಣ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abrasion ,"೧. ಉಜ್ಜುವಿಕೆ, ಘರ್ಷಣೆ, ೨. ಉಜ್ಜುಗಾಯ, ತರಚುಗಾಯ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abrasive ,"ಘರ್ಷಕ ವಸ್ತು, ಘರ್ಷಕ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abrasive property ,ಉಜ್ಜಿಹಾಕುವ ಗುಣ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abrasive soil ,ಉಜ್ಜಿಹಾಕುವ ಗುಣವುಳ್ಳ ಮಣ್ಣು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abreast parlour ,ಹಾಲುಕರೆಯುವ ಸ್ಥಳ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abruption ,"ಕಳಚುವಿಕೆ, ಕಿತ್ತುಗೆಯುವಿಕೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abrus precarious ,ಗುಲಗಂಜಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abscess ,"ಕೀವುಗಂಟು, ಕುರು, ಹುಣ್ಣು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abscicic acid ,ಛೇದನಾ ಆಮ್ಲ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absciss ,"ಕಳಚುವಿಕೆ, ಛೇದಿಸುವಿಕೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abscission ,"ಕತ್ತರಿಕೆ, ಛೇದನ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abscission layer ,ಛೇದನ ಪದರ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute ,"ಅಪ್ಪಟ, ಪೂರ್ಣ, ಶುದ್ಧ, ನಿರಪೇಕ್ಷ, ಚೊಕ್ಕ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute accuracy ,ಪರಿಪೂರ್ಣ ನಿಷ್ಕೃಷ್ಟತೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute block system ,ಸಮಗ್ರ ತಡೆಗಟ್ಟು ಪದ್ಧತಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
